key,text,tag,file,type,protected_text,translated
TM_NotEnoughMana,{0} needs more mana to cast this spell.,TM_NotEnoughMana,TM_English.xml,keyed,<ALIMT >(PH_1)</ALIMT> needs more mana to cast this spell.,{0}施展此法术需要更多的法力值。
TM_NotEnoughBlood,{0} has not sacrificed enough blood to cast this spell.,TM_NotEnoughBlood,TM_English.xml,keyed,<ALIMT >(PH_1)</ALIMT> has not sacrificed enough <ALIMT >blood</ALIMT> to cast this spell.,{0}没有足够的献祭血施展此咒。
TM_NotEnoughMaxMana,{0} does not have the mana reserves to sustain {1},TM_NotEnoughMaxMana,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> does not have the mana reserves to sustain <ALIMT >(PH_1)</ALIMT>,{0}没有法力储备{1}
TM_NotEnoughStamina,{0} does not have enough stamina to execute this ability.,TM_NotEnoughStamina,TM_English.xml,keyed,<ALIMT >(PH_1)</ALIMT> does not have enough stamina to execute this ability.,{0}没有足够的耐力来执行该能力。
TM_NotEnoughPsionicEnergy,{0} does not have enough psionic energy for {1}.,TM_NotEnoughPsionicEnergy,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> does not have enough psionic energy for <ALIMT >(PH_1)</ALIMT>.,{0}没有足够的灵能来{1}没有。
TM_NotEnoughChi,{0} does not have enough ch'i to execute this ability.,TM_NotEnoughChi,TM_English.xml,keyed,<ALIMT >(PH_1)</ALIMT> does not have enough ch'i to execute this ability.,{0}没有足够的 ch 'i 来执行此能力。
TM_NotEnoughEnergy,{0} does not have enough {1} to execute this ability.,TM_NotEnoughEnergy,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> does not have enough <ALIMT >(PH_1)</ALIMT> to execute this ability.,{0}没有足够的{1}来执行这个能力。
TM_NoRequiredNeed,{0} does not have the {1} need required to execute this ability.,TM_NoRequiredNeed,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> does not have the <ALIMT >(PH_1)</ALIMT> need required to execute this ability.,{0}没有{1}需要执行此能力。
TM_NoRequiredHediff,{0} does not have the {1} health effect required to execute this ability.,TM_NoRequiredHediff,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> does not have the <ALIMT >(PH_1)</ALIMT> health effect required to execute this ability.,{0}没有{1}执行此能力所需的健康效果。
TM_NoRequiredInspiration,{0} does not have the {1} inspiration required to execute this ability.,TM_NoRequiredInspiration,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> does not have the <ALIMT >(PH_1)</ALIMT> inspiration required to execute this ability.,{0}没有{1}执行此能力所需的灵感。
TM_NotInspired,{0} is not inspired.,TM_NotInspired,TM_English.xml,keyed,<ALIMT >(PH_1)</ALIMT> is not inspired.,{0}没有灵感。
MentalStateByPsyker,{0} overcome by a psychic assault.,MentalStateByPsyker,TM_English.xml,keyed,<ALIMT >(PH_1)</ALIMT> overcome by a psychic assault.,{0}被心灵攻击所征服。
TM_InvalidTarget,{0} found no valid target for ability {1}.,TM_InvalidTarget,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> found no valid target for ability <ALIMT >(PH_1)</ALIMT>.,{0}未找到适合能力的目标{1}没有。
InvalidPortal,"Invalid portal location - target position, and all adjacent positions, must be valid and free of debris.",InvalidPortal,TM_English.xml,keyed,"Invalid portal location - target position, and all adjacent positions, must be valid and free of debris.",无效的传送门位置-目标位置和所有相邻位置必须有效并且没有碎片。
InvalidMine,Invalid summoned mine location - target position must be valid and free of debris.,InvalidMine,TM_English.xml,keyed,Invalid summoned mine location - target position must be valid and free of debris.,无效的被召唤的矿址-目标位置必须有效并且没有碎片。
InvalidSummon,Attempted a summoning at an invalid location - target position must be valid and free of debris.,InvalidSummon,TM_English.xml,keyed,Attempted a summoning at an invalid location - target position must be valid and free of debris.,试图在无效地点召唤-目标位置必须有效并且没有碎片。
